ATSC5d,ATSC4i,SlogP_VSA1,GATS2v,VSA_EState6,ATSC5p,ATSC3v,AATSC0are,ATSC5v,FilterItLogS,PEOE_VSA9.1,ATSC4p,ATSC6Z,PEOE_VSA10.1,TpiPC10,HallKierAlpha,ATSC4dv,ATSC3Z,SLogP,ATSC7v,ATSC6are,GATS2p,ATSC4pe,GATS2i,ATSC3d,GATS2pe,IC2,VSA_EState8,MinEStateIndex,ATSC3are,MaxEStateIndex,ATSC2dv,ATSC8Z,SssCH2,ATSC4v,MATS1i,VSA_EState3,MATS2p,PEOE_VSA1.1,SMR_VSA1.1,JGI4,ATSC0pe,MinAbsEStateIndex,ATSC1d,ATSC7pe,qed,ATSC5dv,SMR_VSA1,ATSC6p,SdssC,VSA_EState3.1,MATS2Z,GATS2m,AATS2i,AATSC0Z,MATS2i,ATSC3i,VSA_EState6.1,ATSC7Z,ATSC7d,Target
1.693028096,1.260847086,10.05365156,0.904035954,6.026203441,-1.137216625,-837.8537176,0.149903226,-625.520865,-3.150915203,17.46292813,-0.315130843,50.21123829,12.30849708,6.773008863,-1.71,-32.03850156,-141.1082206,1.79064,286.7087205,0.6399,0.9540962,0.41031717,0.945596346,-6.683662851,0.807025652,4.042433004,4.957623955,-3.754834656,-1.2434,11.54047709,7.872008325,-73.52861602,0.90800052,85.19310395,-0.151478584,2.587468348,0.073390425,14.78353926,34.87072496,0.049222222,4.312993548,0.473182109,4.272632674,1.20000718,0.846071016,-47.01977107,14.26826309,-0.26014298,-0.366645566,-0.473182109,0.119105503,0.834556944,156.7754768,7.704474506,0.140814938,-12.54455991,-3.699413068,97.09885536,-1.078043704,1
-0.16,-16.95976762,5.316788604,0.855497057,9.042863284,-3.350735632,154.0684803,0.129078222,-954.5338452,-2.811453154,6.853792781,-4.517465897,36.66222222,5.538925252,6.967850349,-1.84,-120.8933333,51.31111111,1.4735,239.2335572,-0.386867111,0.881528452,-1.726609333,0.948648629,-21.4,0.494339586,3.977747163,1.904444444,-3.995072279,0.423191111,13.00045304,56.42666667,45.67555556,0.560601852,-1164.631639,-0.204112736,2.354926304,0.129480973,4.899909731,28.82077768,0.034555556,3.626746667,0.518238379,13.36,0.152175111,0.764131318,-75.15111111,9.589074368,1.220298474,-0.579256425,-0.600530518,0.177572262,0.720923999,156.2662974,7.448888889,0.20393192,-7.079175277,-7.764219104,34.61777778,4.56,1
-3.520661157,14.95576349,11.46733495,0.655745986,0,-0.71130829,-570.9975853,0.127517355,-208.2127183,-0.074724447,0,0.52124343,-120,1.172698156,4.33073334,-0.97,-25.86042241,-114,-0.82203,799.8765742,-1.713034711,0.488492878,0.288616529,0.465188688,-2.223140496,0.58810336,3.2089873,0,-3.232627079,-1.629193388,7.088583239,18.07621671,0,0,8.46812833,-0.93031962,7.052222222,0.234449546,16.33934368,15.28376173,0.053333333,2.983527273,0.263888889,4.305785124,2.133897521,0.323557475,-51.78328742,0,-1.689734817,-0.038240741,2.624305556,0.130177515,0.371036781,179.497191,15.36363636,0.763845731,-22.97231612,0,216,1.785123967,1
-3,-8.378996823,5.316788604,0.827198383,-0.641180556,-1.276163617,120.9901473,0.175345408,-716.9480874,-2.008475352,0,-3.321956237,34.97959184,5.414990469,5.575949103,-1.39,-139.3469388,107.505102,0.501,662.2412122,0.298747959,0.890851992,-1.877654337,0.879902384,-18.75,0.397507573,3.583616975,3.536936886,-4.416111111,0.31565051,12.88145833,90.69897959,0,0.817037037,-1223.177943,-0.369977639,2.179444444,0.216914773,0,33.61531486,0.057333333,4.515696429,0.866527778,13.5,-0.03402551,0.656908095,-112.2959184,14.38361155,-0.24927666,-1.523726852,-0.929652778,0.281045752,0.618602645,161.479576,8.096938776,0.329181623,-31.37525307,-2.145084562,69.24489796,6,1
-3.947830579,54.17137035,5.316788604,0.786148964,8.465976474,-3.188141498,-2552.69693,0.147952221,-712.4348396,-0.404881823,65.76917937,8.070739302,102.7975207,6.496859684,6.699192411,-2,4.309917355,-241.3119835,-0.5188,-77.42928375,0.769826963,0.666815555,-1.076720661,0.575576567,-5.897210744,1.007710446,3.530025869,6.771555178,-3.373283376,-0.158112862,12.03063728,-49.83884298,-15.25826446,6.771555178,1866.87834,-0.573591268,10.55445358,0.262447916,10.41862154,42.1541372,0.025079365,6.036279545,0.016875,4.321280992,-0.591215238,0.776012545,27.6714876,14.69560176,1.122490431,-1.423813776,2.829711409,-0.067659693,1.017049014,168.6680128,7.754132231,0.664913263,-87.78395342,-4.341667664,-9.291322314,0.089359504,1
-6.588954278,59.00239417,4.899909731,0.767142467,15.59519773,-3.486782562,-657.460875,0.042646718,-1110.778208,-5.112917009,23.71159955,6.766305401,123.106383,0,8.564750453,-1.1,2.376641014,-57.79945677,5.2089,-1604.037409,-0.269770213,0.827558368,0.053643459,0.852822327,6.098687189,1.399421947,4.306268969,4.478577964,-4.574996457,-0.113866908,9.152190689,24.769076,-206.6002716,2.142806752,1356.57714,-0.14330312,0,0.183322591,9.799819462,32.89820535,0.044197531,2.269455319,0.03787226,14.4898144,-0.545828474,0.686708128,-30.68190735,0,5.716116411,0,0,0.061504963,0.987406286,154.1976822,12.71616116,0.266828697,-28.72351955,-6.94559059,-310.2797646,-23.12177456,1
-1.64,-41.69365824,0,0.893867084,16.46685253,9.580387196,-344.7472985,0.116443222,1428.929621,-3.649161093,13.70758556,-6.999004414,-200.6666667,0,8.599035241,-2.26,45.9537037,-154.3055556,4.1161,-1599.662211,-1.049071333,0.928399396,0.0984,0.959048538,1.24,0.74215982,4.472905595,4.666224647,-4.282953042,-2.108967889,10.32952003,-9.932098765,-37.44444444,5.788964632,-956.3753491,-0.070017223,15.62444444,0.105957577,15.11752611,55.44641321,0.049470899,6.629733333,0.114389382,11.52,-0.219888889,0.508215156,76.5154321,19.80212916,-2.624581065,-2.514074074,6.608960695,0.004565529,0.990901404,153.3113501,11.93888889,0.187601993,27.71493728,-13.95988127,-350.4722222,-12.92,1
-10.01939058,-18.25938689,10.63357721,1.047889479,0,4.485400681,32.70098867,0.111139612,47.41258101,-3.885525231,0,-1.531493975,-121.0221607,5.414990469,5.945420609,-0.62,-52.35087719,-6.108033241,1.693,-1095.517649,0.227959003,1.156096106,1.4722,1.182662639,-9.855955679,0.445514672,4.043337053,4.027177789,-5.000147392,0.59780277,13.55303949,86.50107725,110.0914127,3.131392196,-413.8087132,-0.045333395,5.319219104,-0.122703462,10.61962671,37.08641254,0.042437276,4.0564,0.714614512,13.15789474,-4.4253,0.576733678,-148.26008,9.589074368,-2.9237268,-0.369467593,-2.829464837,-0.011830357,0.963058645,154.335041,14.89196676,-0.07784172,-20.41941725,0,-352.5207756,2.343490305,1
6.479938272,-21.70499063,9.473725908,0.70528219,14.99160903,-1.240517097,-350.2670276,0.100371219,-31.27779434,-5.867258089,39.16048239,1.497536224,-337,11.49902367,7.891838996,-1.09,-57.81069959,-139.7746914,5.2059,-141.4323609,-0.576177778,0.595166921,-0.471607407,0.830320394,-10.53626543,1.001581319,3.495906598,0,-3.186284722,-1.114687886,8.991837916,-20.51783265,135.5833333,0,-245.8835115,-0.091823113,0,0.303833064,9.473725908,30.03510425,0.046388889,4.463288889,1.012594939,7.102623457,4.331041975,0.708529919,29.79355281,9.473725908,-2.590852887,0,0,0.372143209,0.460317257,150.7827624,19.60802469,0.184998257,-4.455999364,-8.881981994,284.0308642,-10.11265432,1
2.25,3.368357357,0,0.620966007,0,-2.289155689,-145.4093261,0.465125,-204.3582528,-1.886774931,5.483034225,1.828309488,0,0,3.610917913,0.4,-62.48148148,91.41666667,2.0293,0,0,0.587173676,-3.815175,0.764306736,-3.25,0.732432384,2.855388542,0,-4.443094136,-1.966525,12.39298611,51.44272977,0,0,-68.9871831,-0.249732798,0,0.315782775,4.736862954,19.00072727,0,5.054025,3.204861111,0.75,0,0.568393128,43.10185185,13.51769305,0,0,0,0.106890939,0.766742942,185.6262317,29.63888889,0.078081085,-21.52109627,0,0,0,1
