ATSC5d,ATSC4i,SlogP_VSA1,GATS2v,VSA_EState6,ATSC5p,ATSC3v,AATSC0are,ATSC5v,FilterItLogS,PEOE_VSA9.1,ATSC4p,ATSC6Z,PEOE_VSA10.1,TpiPC10,HallKierAlpha,ATSC4dv,ATSC3Z,SLogP,ATSC7v,ATSC6are,GATS2p,ATSC4pe,GATS2i,ATSC3d,GATS2pe,IC2,VSA_EState8,MinEStateIndex,ATSC3are,MaxEStateIndex,ATSC2dv,ATSC8Z,SssCH2,ATSC4v,MATS1i,VSA_EState3,MATS2p,PEOE_VSA1.1,SMR_VSA1.1,JGI4,ATSC0pe,MinAbsEStateIndex,ATSC1d,ATSC7pe,qed,ATSC5dv,SMR_VSA1,ATSC6p,SdssC,VSA_EState3.1,MATS2Z,GATS2m,AATS2i,AATSC0Z,MATS2i,ATSC3i,VSA_EState6.1,ATSC7Z,ATSC7d,Target
-2.728888889,-25.32508218,14.79051451,0.805419936,3.984014983,-6.61271928,398.5025752,0.125250667,-545.7543496,-4.559570517,32.25621,-2.118042539,-53.38666667,17.06247516,7.18377587,-1.27,57.11573439,167.1244444,2.6804,-824.756199,-4.568352,0.706390368,3.499277333,1.017878144,-11.36888889,1.116810253,4.385754485,4.927212042,-4.54941362,0.088468,13.79536576,33.33600908,114.9111111,5.092165375,-628.3076375,-0.269564927,3.020416667,0.162352532,14.78353926,45.83679341,0.045286195,5.48832,0.857741144,14.01777778,-0.850092444,0.835602404,-48.05647852,14.26826309,6.369180098,-0.16856198,-1.067962491,0.042194729,0.579042471,159.9958435,28.77333333,0.119289147,12.5740403,-6.861520965,-499.0311111,3.008888889,0
-0.013171947,-9.509606171,0,1.188261163,10.45743344,0.836143425,-244.7556906,0.056367675,286.0270583,-4.07264016,12.45484359,-1.764897768,-58.42363831,0,7.031796469,-0.86,-4.847276611,-21.13207547,4.3305,-480.1986274,-1.018034354,1.210647363,-0.074245105,1.251129402,-7.396226415,1.109321367,3.394187615,3.479133913,-5.328023432,-0.190198113,9.41246575,1.754716981,-112.6852973,14.6750453,-443.4959941,-0.044590221,11.61134708,-0.091670092,10.00871792,46.23156488,0.02162963,3.137607547,1.280461428,8.632253471,-1.054509292,0.87471043,0.776788893,5.106527395,-0.033744382,0,4.438008196,-0.070245668,1.164532857,153.0884859,6.491990032,-0.05965208,-3.837481723,-8.393921867,-92.97970808,-7.561409754,0
-8.746666667,19.07802936,11.05045608,0.943258591,5.410909864,-2.265468155,-543.3108926,0.095131556,-222.6799221,-2.797880748,11.50092669,0.39462144,-56.45333333,2.823684157,6.482151237,-1.35,-63.88888889,-41.69777778,1.58914,-1419.440897,-1.187518667,1.019428911,-2.458182222,1.162572452,-4.764444444,0.557703486,3.939572262,5.593784014,-3.78096242,0.448143556,12.69201767,22.90666667,203.2533333,0,-257.6242989,0.063936692,2.813981481,0.071015575,11.02953033,26.84992465,0.060952381,2.768536667,0.616689815,8,-1.680469889,0.74723613,-6.613333333,4.794537184,-0.396819679,-0.150555556,-0.616689815,0.19337179,0.767329866,155.9506762,7.115555556,-0.036547705,-13.21389514,-7.304433369,-204.3288889,3.671111111,0
-7.5,7.298560891,0,1.064239525,-1.14263211,-2.915552658,-899.923918,0.142939059,-523.7005773,-4.546685615,60.55677837,1.323846183,-301.0907029,23.96117347,7.850103545,-2.78,-9.470647518,45.31620055,4.639,3.070312424,-5.622648299,1.146644298,0.722821794,1.198303096,-9.5,0.911716882,5.287818118,13.12507928,-7.288450033,5.395901247,16.53164481,70.34215168,-278.7120181,4.630030625,457.434567,-0.093986368,34.1446373,0.012577028,43.91064907,148.6589528,0.043781676,16.86065397,2.521644999,33.75,3.303686924,0.184955536,-142.2932729,58.18204569,0.491122533,-1.530876127,11.76252755,0.056348394,0.951546319,155.4015828,7.629377677,-0.003948426,-23.88048281,-17.7821292,44.17762661,-13.25,0
0.979993844,-54.29852339,0,0.999246265,4.30927994,-3.54428613,-823.6269957,0.053800062,-493.7781601,-4.851646078,15.67532792,-9.795788511,64.55555556,0,8.262736331,-1.41,-62,-122,5.3986,-326.5503731,-0.519655525,1.011463771,-1.156143952,1.017843373,-26.20406279,0.857921711,4.608777075,5.028289976,-5.365348115,-0.91725337,9.996543262,-3.444444444,78,8.149998073,-2190.985932,0.06301428,10.15552211,0.084226093,5.108808191,46.23156488,0.051843972,3.256350877,1.170344659,18.93197907,-0.218447184,0.688781387,25.77777778,5.106527395,5.133718386,3.118137039,4.009655207,0.056961931,0.963491839,148.2808345,6.573099415,0.093608028,-14.91575071,-7.269270975,-34.33333333,2.309325946,0
-1.578125,2.70526945,11.46733495,1.018770507,0,0.231674256,-315.1604878,0.226973437,-108.6715878,1.898796866,21.08690829,-1.630637207,29.125,25.42867541,7.090180997,-1.68,-49.5,-1.8125,-2.8243,-128.3837497,1.067421875,1.223178112,-0.654760937,1.312750784,-11.453125,0.935678797,4.327819531,-0.452375835,-3.849238237,1.442067188,12.0495544,-4,-38.125,-0.452375835,-466.0660529,-0.175050255,28.32843432,-0.017836342,31.50272148,40.10050292,0.0492,6.564646875,0.121131897,10.015625,0.509629687,0.390849892,-39.5625,24.85098232,-0.940730748,-0.807413523,11.72180239,-0.016563147,0.849052582,161.2547181,8.625,-0.003043445,-15.55849244,0,6.75,-5.5,0
2.931818182,-6.038993852,5.316788604,1.224696568,0,0.907233462,-191.5351638,0.238725,-17.28195037,-0.831906855,5.704956885,-0.999433716,72.17355372,0,4.605170186,-0.62,-31.76859504,-153.2809917,-0.5996,85.27236405,-1.01265,1.326525164,-1.460160124,1.42001835,-0.619834711,0.432519251,3.879664005,1.613659769,-5.610182705,-3.64605,11.33314728,50.63911846,-127.8181818,0.19525463,-104.3188477,-0.234503509,2.403611111,-0.22741828,5.309813353,31.51603392,0.045714286,4.754495455,1.002682823,-1.98553719,3.185339876,0.447848266,-5.555555556,17.76508404,0.641298731,-0.208020597,-1.002682823,-0.058450372,1.007436941,161.7091018,15.14049587,-0.235118029,4.04296619,0,13.79338843,-1.654958678,0
1.956533228,-15.19321218,5.316788604,1.211580161,-2.168167929,2.251876041,-479.8486776,0.25086635,149.3799264,6.399509727,73.43248115,-3.460884128,44.58607478,80.45207643,7.505492275,-1.02,-118.4925353,91.05205443,-8.5645,-881.6511411,1.426747681,1.42661726,-3.522411124,1.521501502,-16.1021271,1.044613083,4.510923546,-0.752952095,-5.872880229,7.149420452,9.561861667,-76.82362267,-174.4608271,-2.22201071,-1049.150922,0.052662726,135.5929596,-0.109081292,95.40863461,131.2626615,0.057720798,19.74089885,1.728533399,20.82996433,0.311829396,0.103483259,-43.24362531,90.0691709,-0.896514505,0.022477209,49.41891944,-0.104876605,1.008157305,156.6145355,9.009380367,-0.153366029,-14.10758752,-13.6016507,-22.49200687,-26.87607346,0
-14.91632373,5.130621397,11.24901029,0.485414911,0,-3.903220165,-539.6993329,0.214857064,-980.5633685,0.086286532,9.044888826,0.112994382,59.98491084,7.86761824,8.458233248,-2.38,-121.6364883,-46.22222222,-1.4817,585.1583252,4.051026063,0.503328499,-3.059268176,0.720367385,-8.851851852,0.623105103,4.032303243,-0.371087491,-3.463002646,-0.362303704,12.56302107,42.61591221,-138.8449931,-0.371087491,-193.3845942,-0.799018038,8.702849427,0.425350971,9.675907839,22.24017238,0.06275641,5.202674074,0.050138889,10.75445816,1.079131687,0.687347106,-72.07270233,9.901064579,-0.673089812,-1.083142479,3.505868449,0.262139597,0.581808191,169.7844712,8.01920439,0.454249135,-20.31476738,0,142.8106996,0.860082305,0
-11.4880333,4.564894673,5.106527395,0.760921638,0,-0.339792488,-1488.270025,0.188575442,-499.485851,-2.037810874,37.37658337,2.487401014,214.9542144,6.496859684,4.890349128,-1.1,103.3548387,-275.7450572,-1.2357,-1597.893854,4.062309365,0.805910562,4.860909677,0.835977308,1.026014568,0.793609175,3.59809631,1.713788738,-4.986875,-3.384172529,11.79192508,14.28199792,175.3454735,0.197083333,1205.795191,-0.653044839,10.3677003,0.208994559,19.12095839,47.21839103,0.037647059,5.374548387,2.642383787,1.237252862,-9.381853798,0.414060329,-33.87304891,23.91549557,-1.538528031,-1.671851852,11.28802201,0.180251417,0.796592748,167.7854898,8.247658689,0.344649379,-20.01069108,0,-486.8241415,7.642039542,0
